subset_index,experiment_seed,perm_gen_seed,permutation_index,image_index,image_id,initial_dice,final_dice,iterations_used,reached_cutoff,commit_type,protocol,dice_cutoff,prompt_limit,context_size
0,23,23,0,0,25,6.022466379762559e-12,0.8497002720832825,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,23,23,0,1,36,0.7933798432350159,0.8651840090751648,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,23,23,0,2,20,0.8374305367469788,0.883721113204956,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,23,23,0,3,26,0.8786985874176025,0.8997296690940857,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,23,23,0,4,66,0.8628673553466797,0.8981456160545349,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,23,23,0,5,8,0.8448522090911865,0.879533052444458,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,23,23,0,6,39,0.8250519633293152,0.8596690893173218,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,23,23,0,7,28,0.6749804019927979,0.8502609729766846,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
0,23,23,0,8,30,0.8783953189849854,0.9000999927520752,9,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
0,23,23,0,9,11,0.8874978423118591,0.9004510045051575,14,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
0,23,24,1,0,11,6.770994355476123e-12,0.8523988723754883,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,23,24,1,1,28,0.5507200360298157,0.8483010530471802,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,23,24,1,2,26,0.7961332201957703,0.876724123954773,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,23,24,1,3,36,0.8711700439453125,0.9018409252166748,20,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,23,24,1,4,25,0.8527684211730957,0.895423173904419,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,23,24,1,5,20,0.8521982431411743,0.8856425285339355,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,23,24,1,6,30,0.8815117478370667,0.9000769257545471,7,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,23,24,1,7,39,0.8305192589759827,0.871230959892273,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
0,23,24,1,8,8,0.8528591990470886,0.8779143691062927,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
0,23,24,1,9,66,0.8658261895179749,0.9006311297416687,20,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
0,23,25,2,0,25,6.022466379762559e-12,0.8397915363311768,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,23,25,2,1,36,0.7933798432350159,0.852146565914154,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,23,25,2,2,28,0.664349377155304,0.8499851822853088,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
