subset_index,experiment_seed,perm_gen_seed,permutation_index,image_index,image_id,initial_dice,final_dice,iterations_used,reached_cutoff,commit_type,protocol,dice_cutoff,prompt_limit,context_size
0,23,23,0,0,9,3.2754185648464773e-12,0.93037748336792,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,0
0,23,23,0,1,41,0.9080425500869752,0.9657092094421388,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,1
0,23,23,0,2,8,0.941162407398224,0.9721024632453918,19,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,2
0,23,23,0,3,13,0.9496198296546936,0.9705747961997986,11,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,3
0,23,23,0,4,11,0.9299283623695374,0.9706062078475952,16,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,4
0,23,23,0,5,35,0.9569079875946044,0.970462203025818,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,5
0,23,23,0,6,3,0.9310523867607116,0.967764973640442,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,6
0,23,23,0,7,42,0.9189637899398804,0.970259726047516,13,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,7
0,23,23,0,8,14,0.939079999923706,0.970462679862976,20,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,8
0,23,23,0,9,29,0.9406623840332032,0.9700889587402344,19,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,9
0,23,24,1,0,29,3.675213779141817e-12,0.9449924230575562,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,0
0,23,24,1,1,42,0.917801558971405,0.9643262028694152,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,1
0,23,24,1,2,13,0.9239025712013244,0.9624664187431335,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,2
0,23,24,1,3,41,0.8760746121406555,0.9660826921463012,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,3
0,23,24,1,4,9,0.9391791820526124,0.9701996445655824,19,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,4
0,23,24,1,5,8,0.9304926991462708,0.9689851403236388,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,5
0,23,24,1,6,14,0.9419962167739868,0.967898964881897,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,6
0,23,24,1,7,3,0.9256855845451356,0.9660511016845704,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,7
0,23,24,1,8,35,0.958057463169098,0.9705459475517272,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,8
0,23,24,1,9,11,0.9448922872543336,0.9705236554145812,14,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,9
0,23,25,2,0,9,3.2754185648464773e-12,0.927013635635376,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,0
0,23,25,2,1,41,0.9080425500869752,0.9642067551612854,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,1
0,23,25,2,2,42,0.8994383215904236,0.9705833792686462,14,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,2
0,23,25,2,3,8,0.9399628639221193,0.9682137370109558,20,False,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,3
0,23,25,2,4,13,0.9503278732299804,0.971197783946991,9,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,4
0,23,25,2,5,14,0.9421801567077636,0.970719575881958,18,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.97,20,5
