subset_index,experiment_seed,perm_gen_seed,permutation_index,image_index,image_id,initial_dice,final_dice,iterations_used,reached_cutoff,commit_type,protocol,dice_cutoff,prompt_limit,context_size
0,23,23,0,0,127,4.4800666648692194e-11,0.9101499319076538,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,23,23,0,1,209,2.7423058615583248e-11,0.9289431571960448,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,23,23,0,2,63,0.8632599711418152,0.925042688846588,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,23,23,0,3,164,0.5795197486877441,0.9156317710876464,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,23,23,0,4,177,0.8820096850395203,0.92497456073761,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,23,23,0,5,68,0.5653460621833801,0.9059277176856996,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,23,23,0,6,2,0.8027758002281189,0.93416029214859,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,23,23,0,7,168,0.9474790692329408,0.9474790692329408,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
0,23,23,0,8,236,0.883665919303894,0.9298903942108154,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
0,23,23,0,9,11,0.5627941489219666,0.9358752965927124,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
0,23,24,1,0,11,2.4395567163604248e-11,0.9433777928352356,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,23,24,1,1,168,0.8337780833244324,0.9620099663734436,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,23,24,1,2,164,0.9359387755393982,0.9359387755393982,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,23,24,1,3,209,2.6620055118553587e-11,0.9170770645141602,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,23,24,1,4,127,0.4994206428527832,0.9004178643226624,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,23,24,1,5,63,0.8487905263900757,0.9175710082054138,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,23,24,1,6,236,0.8884332776069641,0.9271286129951476,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,23,24,1,7,2,0.8426297903060913,0.9329096674919128,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
0,23,24,1,8,68,0.6763101816177368,0.9152519702911376,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
0,23,24,1,9,177,0.9074187874794006,0.9074187874794006,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
0,23,25,2,0,127,4.4800666648692194e-11,0.9234485626220704,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,23,25,2,1,209,2.7423058615583248e-11,0.9289431571960448,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,23,25,2,2,168,0.9193864464759828,0.9193864464759828,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,23,25,2,3,63,0.8953707218170166,0.9312048554420472,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,23,25,2,4,164,0.7944477200508118,0.9239630103111268,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,23,25,2,5,236,0.8929104804992676,0.9279696345329284,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,23,25,2,6,68,0.6017700433731079,0.9059277176856996,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,23,25,2,7,2,0.8295531868934631,0.9322600960731506,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
0,23,25,2,8,177,0.9172980785369872,0.9172980785369872,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
0,23,25,2,9,11,0.5627941489219666,0.9258906245231628,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
0,23,26,3,0,63,6.812977265679976e-12,0.9342890381813048,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,23,26,3,1,2,0.0707316845655441,0.9419589638710022,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,23,26,3,2,164,0.8805624842643738,0.9273102283477784,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,23,26,3,3,177,0.8521679043769836,0.902230978012085,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,23,26,3,4,168,0.949810802936554,0.949810802936554,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,23,26,3,5,68,0.5315809845924377,0.9223530292510986,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,23,26,3,6,209,0.733303427696228,0.918787956237793,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,23,26,3,7,127,0.1596966981887817,0.9124395251274108,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
0,23,26,3,8,236,0.883665919303894,0.9298903942108154,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
0,23,26,3,9,11,0.5627941489219666,0.9206448793411256,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
0,23,27,4,0,177,6.855242502129544e-12,0.9338905811309814,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,23,27,4,1,168,0.9024802446365356,0.9024802446365356,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,23,27,4,2,236,0.921908438205719,0.921908438205719,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,23,27,4,3,164,0.9346278309822084,0.9346278309822084,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,23,27,4,4,2,0.8251693844795227,0.939058780670166,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,23,27,4,5,209,0.0869171246886253,0.9263607263565063,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,23,27,4,6,63,0.8987395763397217,0.9283102750778198,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,23,27,4,7,127,0.3791123926639557,0.9219449162483216,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
0,23,27,4,8,11,0.5786769986152649,0.920009434223175,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
0,23,27,4,9,68,0.617468535900116,0.921325981616974,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
0,23,28,5,0,2,8.333288226136659e-11,0.9140358567237854,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,23,28,5,1,164,0.520787239074707,0.9054593443870544,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,23,28,5,2,127,0.4879130721092224,0.9143906831741332,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
